Parliament Code,Federal Constituency,GE14_Alliance,GE14_Margin,GE15_Alliance,GE15_Margin
p015,Sungai Petani,PH,23.31,PH,0.86
p043,Bagan,PH,73.06,PH,72.32
p045,Bukit Mertajam,PH,70.79,PH,62.2
p046,Batu Kawan,PH,61.33,PH,58.82
p047,Nibong Tebal,PH,25.44,PH,20.54
p050,Jelutong,PH,59.96,PH,55.15
p051,Bukit Gelugor,PH,73.91,PH,73.32
p052,Bayan Baru,PH,50.44,PH,39.07
p053,Balik Pulau,PH,12.99,PH,2.5
p055,Lenggong,BN,24.88,BN,3.18
p060,Taiping,PH,39.26,PH,30.24
p062,Sungai Siput,PH,13.12,PH,3.66
p063,Tambun,PH,6.12,PH,2.99
p064,Ipoh Timor,PH,60.93,PH,55.01
p071,Gopeng,PH,37.58,PH,26.2
p075,Bagan Datuk,BN,13.78,BN,0.83
p077,Tanjong Malim,PH,9.87,PH,5.15
p078,Cameron Highlands,BN,15.11,BN,13.66
p079,Lipis,BN,23.38,BN,17.06
p084,Paya Besar,BN,13.02,BN,2.12
p085,Pekan,BN,35.2,BN,9.66
p089,Bentong,PH,3.69,PH,1.04
p096,Kuala Selangor,PH,14.23,PH,1.16
p097,Selayang,PH,41.49,PH,16.41
p098,Gombak,PH,40.93,PH,7.73
p099,Ampang,PH,54.81,PH,29.7
p100,Pandan,PH,61.31,PH,42.11
p101,Hulu Langat,PH,28.81,PH,10.95
p102,Bangi,PH,43.99,PH,28.77
p103,Puchong,PH,57.06,PH,47.92
p104,Subang,PH,73.47,PH,66.53
p105,Petaling Jaya,PH,49.56,PH,35.28
p106,Damansara,PH,78.44,PH,71.24
p107,Sungai Buloh,PH,34.17,PH,2.09
p108,Shah Alam,PH,36.3,PH,13.33
p110,Klang,PH,61.99,PH,56.65
p111,Kota Raja,PH,55.53,PH,37.58
p113,Sepang,PH,20.63,PH,6.53
p116,Wangsa Maju,PH,32.93,PH,22.51
p117,Segambut,PH,70.61,PH,69.81
p118,Setiawangsa,PH,23.62,PH,16.44
p122,Seputeh,PH,79.94,PH,77.59
p123,Cheras,PH,78.0,PH,75.89
p124,Bandar Tun Razak,PH,28.39,PH,10.55
p128,Seremban,PH,33.43,PH,25.09
p130,Rasah,PH,54.94,PH,51.79
p132,Port Dickson,PH,54.74,PH,29.6
p135,Alor Gajah,PH,12.07,PH,1.22
p137,Hang Tuah Jaya,PH,11.28,PH,9.14
p138,Kota Melaka,PH,46.71,PH,37.68
p140,Segamat,PH,12.08,PH,11.19
p142,Labis,PH,10.64,PH,8.15
p144,Ledang,PH,13.25,PH,12.2
p145,Bakri,PH,37.56,PH,26.32
p147,Parit Sulong,BN,12.74,BN,3.21
p149,Sri Gading,PH,7.43,PH,6.53
p150,Batu Pahat,PH,21.79,PH,16.1
p152,Kluang,PH,28.63,PH,27.62
p155,Tenggara,BN,16.02,BN,5.82
p156,Kota Tinggi,BN,38.28,BN,17.73
p157,Pengerang,BN,35.41,BN,12.02
p158,Tebrau,PH,35.81,PH,18.29
p159,Pasir Gudang,PH,23.55,PH,21.14
p160,Johor Bahru,PH,24.63,PH,16.99
p161,Pulai,PH,33.29,PH,28.28
p162,Iskandar Puteri,PH,38.48,PH,36.68
p163,Kulai,PH,38.74,PH,31.26
p165,Tanjung Piai,BN,39.28,BN,11.65
p169,Kota Belud,WARISAN,9.25,WARISAN,8.48
p172,Kota Kinabalu,PH,56.93,PH,54.07
p177,Beaufort,BN,12.24,BN,8.8
p186,Sandakan,PH,53.66,PH,37.13
p187,Kinabatangan,BN,44.05,BN,14.75
p189,Semporna,WARISAN,61.85,WARISAN,53.48
p195,Bandar Kuching,PH,58.85,PH,45.44
p196,Stampin,PH,27.4,PH,9.71
p211,Lanang,PH,31.7,PH,21.8
p212,Sibu,PH,20.13,PH,11.77
p219,Miri,PH,23.63,PH,7.88
