Party,Federal Constituency,Parliament Code,Margin-of-Votes,Classification
Independent,Lubok Antu,p203,7.28,Fairly Safe
Independent,Julau,p209,10.56,Safe
Independent,Batu,p115,38.91,Very Safe
WARISAN,Papar,p175,0.91,Marginal
WARISAN,Kalabakan,p191,8.63,Fairly Safe
WARISAN,Kota Belud,p169,9.25,Fairly Safe
WARISAN,Batu Sapi,p185,19.86,Very Safe
WARISAN,Sepanggar,p171,27.17,Very Safe
WARISAN,Penampang,p174,54.45,Very Safe
WARISAN,Semporna,p189,61.85,Very Safe
STAR,Keningau,p180,0.11,Marginal
