Federal Constituency,Parliament Code,Margin-of-Votes,Classification
Putatan,p173,0.3,Marginal
Bagan Datuk,p075,0.83,Marginal
Tampin,p133,2.09,Marginal
Paya Besar,p084,2.12,Marginal
Lenggong,p055,3.18,Marginal
Parit Sulong,p147,3.21,Marginal
Simpang Renggam,p151,4.13,Marginal
Tenggara,p155,5.82,Marginal
Ayer Hitam,p148,6.35,Fairly Safe
Titiwangsa,p119,7.61,Fairly Safe
Jempol,p127,8.16,Fairly Safe
Beaufort,p177,8.8,Fairly Safe
Pekan,p085,9.66,Fairly Safe
Kimanis,p176,9.82,Fairly Safe
Pontian,p164,10.12,Safe
Tapah,p072,11.46,Safe
Tanjung Piai,p165,11.65,Safe
Pengerang,p157,12.02,Safe
Kuala Pilah,p129,13.41,Safe
Cameron Highlands,p078,13.66,Safe
Pensiangan,p182,14.63,Safe
Kinabatangan,p187,14.75,Safe
Lipis,p079,17.06,Safe
Kota Tinggi,p156,17.73,Safe
Jelebu,p126,17.92,Safe
Rembau,p131,18.27,Safe
Kalabakan,p191,18.31,Safe
Sembrong,p153,26.58,Very Safe
Bera,p090,28.04,Very Safe
Libaran,p184,29.12,Very Safe
